"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","Area","2021","1000 ha","2493.00",""
"Afghanistan","Area","2020","1000 ha","2493.00",""
"Afghanistan","Area","2019","1000 ha","2283.00",""
"Afghanistan","Area","2018","1000 ha","1947.00",""
"Afghanistan","Area","2017","1000 ha","2271.00",""
"Afghanistan","Area","2016","1000 ha","2457.00",""
"Afghanistan","Area","2015","1000 ha","2165.00",""
"Afghanistan","Area","2014","1000 ha","2177.00",""
"Afghanistan","Area","2013","1000 ha","2092.00",""
"Afghanistan","Area","2012","1000 ha","2072.00",""
"Afghanistan","Area","2011","1000 ha","2044.00",""
"Afghanistan","Area","2010","1000 ha","1896.00",""
"Afghanistan","Area","2009","1000 ha","1836.00",""
"Afghanistan","Area","2008","1000 ha","2191.00",""
"Afghanistan","Area","2007","1000 ha","2252.00",""
"Afghanistan","Area","2006","1000 ha","2307.00",""
"Afghanistan","Area","2005","1000 ha","2214.00",""
"Afghanistan","Area","2004","1000 ha","2086.00",""
"Afghanistan","Area","2003","1000 ha","2752.00",""
"Afghanistan","Area","2002","1000 ha","1745.00",""
"Afghanistan","Area","2001","1000 ha","2140.00",""
"Afghanistan","Share in Agricultural land","2021","%","6.51",""
"Afghanistan","Share in Agricultural land","2020","%","6.51",""
"Afghanistan","Share in Agricultural land","2019","%","6.01",""
"Afghanistan","Share in Agricultural land","2018","%","5.12",""
"Afghanistan","Share in Agricultural land","2017","%","5.99",""
"Afghanistan","Share in Agricultural land","2016","%","6.48",""
"Afghanistan","Share in Agricultural land","2015","%","5.71",""
"Afghanistan","Share in Agricultural land","2014","%","5.74",""
"Afghanistan","Share in Agricultural land","2013","%","5.52",""
"Afghanistan","Share in Agricultural land","2012","%","5.46",""
"Afghanistan","Share in Agricultural land","2011","%","5.39",""
"Afghanistan","Share in Agricultural land","2010","%","5.00",""
"Afghanistan","Share in Agricultural land","2009","%","4.84",""
"Afghanistan","Share in Agricultural land","2008","%","5.78",""
"Afghanistan","Share in Agricultural land","2007","%","5.94",""
"Afghanistan","Share in Agricultural land","2006","%","6.09",""
"Afghanistan","Share in Agricultural land","2005","%","5.84",""
"Afghanistan","Share in Agricultural land","2004","%","5.50",""
"Afghanistan","Share in Agricultural land","2003","%","7.26",""
"Afghanistan","Share in Agricultural land","2002","%","4.62",""
"Afghanistan","Share in Agricultural land","2001","%","5.66",""
"Albania","Area","2021","1000 ha","188.00",""
"Albania","Area","2020","1000 ha","182.00",""
"Albania","Area","2019","1000 ha","179.00",""
"Albania","Area","2018","1000 ha","176.00",""
"Albania","Area","2017","1000 ha","171.00",""
"Albania","Area","2016","1000 ha","169.00",""
"Albania","Area","2015","1000 ha","158.00",""
"Albania","Area","2014","1000 ha","149.80",""
"Albania","Area","2013","1000 ha","205.26",""
"Albania","Area","2012","1000 ha","204.70",""
"Albania","Area","2011","1000 ha","204.30",""
"Albania","Area","2010","1000 ha","204.50",""
"Albania","Area","2009","1000 ha","202.00",""
"Albania","Area","2008","1000 ha","118.00",""
"Albania","Area","2007","1000 ha","195.00",""
"Albania","Share in Agricultural land","2021","%","16.54",""
"Albania","Share in Agricultural land","2020","%","15.61",""
"Albania","Share in Agricultural land","2019","%","15.25",""
"Albania","Share in Agricultural land","2018","%","14.99",""
"Albania","Share in Agricultural land","2017","%","14.56",""
"Albania","Share in Agricultural land","2016","%","14.30",""
"Albania","Share in Agricultural land","2015","%","13.45",""
"Albania","Share in Agricultural land","2014","%","12.76",""
"Albania","Share in Agricultural land","2013","%","17.29",""
"Albania","Share in Agricultural land","2012","%","17.04",""
"Albania","Share in Agricultural land","2011","%","17.01",""
"Albania","Share in Agricultural land","2010","%","17.02",""
"Albania","Share in Agricultural land","2009","%","16.82",""
"Albania","Share in Agricultural land","2008","%","9.99",""
"Albania","Share in Agricultural land","2007","%","17.43",""
"Algeria","Area","2019","1000 ha","1381.88",""
"Algeria","Area","2017","1000 ha","1306.36",""
"Algeria","Area","2016","1000 ha","1260.51",""
"Algeria","Area","2015","1000 ha","1215.26",""
"Algeria","Area","2014","1000 ha","1136.26",""
"Algeria","Area","2013","1000 ha","1089.50",""
"Algeria","Area","2012","1000 ha","1042.92",""
"Algeria","Area","2011","1000 ha","987.01",""
"Algeria","Area","2010","1000 ha","985.22",""
"Algeria","Area","2009","1000 ha","884.34",""
"Algeria","Area","2008","1000 ha","855.72",""
"Algeria","Area","2007","1000 ha","905.00",""
"Algeria","Area","2006","1000 ha","835.00",""
"Algeria","Area","2005","1000 ha","825.00",""
"Algeria","Area","2004","1000 ha","793.00",""
"Algeria","Area","2003","1000 ha","722.00",""
"Algeria","Share in Agricultural land","2019","%","3.34",""
"Algeria","Share in Agricultural land","2017","%","3.16",""
